instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,CasualClass,registered,registeredClass,cnt,cntClass,4&1,4&4,1&2,1&3,2&1,2&2,2&3,2&4,3&1,3&2,3&3,3&4,4&2,4&3
26,1/26/2011,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,1,472,1,506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1/27/2011,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,1,416,1,431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1/28/2011,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1,1129,1,1167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1/29/2011,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,1,975,1,1098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1/30/2011,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,1,956,1,1096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1/31/2011,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1,1459,1,1501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2/1/2011,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1,1313,1,1360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2/2/2011,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1,1454,1,1526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2/3/2011,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1,1489,1,1550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2/4/2011,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1,1620,1,1708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2/5/2011,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,1,905,1,1005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2/6/2011,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,2,1269,1,1623,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,2/7/2011,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1,1592,1,1712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2/8/2011,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1,1466,1,1530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2/9/2011,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1,1552,1,1605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2/10/2011,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1,1491,1,1538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2/11/2011,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1,1597,1,1746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2/12/2011,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1,1184,1,1472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2/13/2011,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,2,1192,1,1589,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,2/14/2011,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1,1705,1,1913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2/15/2011,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1,1675,1,1815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2/16/2011,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1,1897,1,2115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2/17/2011,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,1,2216,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2/18/2011,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2,2348,1,2927,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,2/19/2011,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,2,1103,1,1635,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,2/20/2011,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,2,1173,1,1812,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,2/21/2011,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,1,912,1,1107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2/22/2011,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1,1376,1,1450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2/23/2011,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1,1778,1,1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2/24/2011,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1,1707,1,1807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2/25/2011,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1,1341,1,1461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2/26/2011,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,2,1545,1,1969,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,2/27/2011,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,2,1708,1,2402,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,2/28/2011,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1,1365,1,1446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3/1/2011,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1,1714,1,1851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3/2/2011,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1,1903,1,2134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,3/3/2011,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1,1562,1,1685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3/4/2011,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1,1730,1,1944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3/5/2011,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,2,1437,1,2077,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,3/6/2011,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,1,491,1,605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3/7/2011,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1,1628,1,1872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,3/8/2011,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,2,1817,1,2133,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,3/9/2011,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1,1700,1,1891,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,3/10/2011,1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,46,1,577,1,623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3/11/2011,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1,1730,1,1977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3/12/2011,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,3,1408,1,2132,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,3/13/2011,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,3,1435,1,2417,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,3/14/2011,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,2,1687,1,2046,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,3/15/2011,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1,1767,1,2056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,3/16/2011,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,2,1871,1,2192,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,3/17/2011,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2,2320,1,2744,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,3/18/2011,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,3,2355,1,3239,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,3/19/2011,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,4,1693,1,3117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3/20/2011,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,3,1424,1,2471,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,3/21/2011,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,2,1676,1,2077,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,3/22/2011,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2,2243,1,2703,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,3/23/2011,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1,1918,1,2121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3/24/2011,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1,1699,1,1865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3/25/2011,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1,1910,1,2210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,3/26/2011,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,3,1515,1,2496,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,3/27/2011,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,2,1221,1,1693,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,3/28/2011,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1,1806,1,2028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3/29/2011,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2,2108,1,2425,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89,3/30/2011,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1,1368,1,1536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3/31/2011,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1,1506,1,1685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4/1/2011,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1,1920,1,2227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4/2/2011,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,3,1354,1,2252,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
93,4/3/2011,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,4,1598,1,3249,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,4/4/2011,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,3,2381,1,3115,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,4/5/2011,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1,1628,1,1795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,4/6/2011,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2,2395,1,2808,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97,4/7/2011,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2,2570,2,3141,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,4/8/2011,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1,1299,1,1471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4/9/2011,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,3,1576,1,2455,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,4/10/2011,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,4,1707,1,2895,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,4/11/2011,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,3,2493,1,3348,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,4/12/2011,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1,1777,1,2034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,4/13/2011,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1,1953,1,2162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,4/14/2011,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2,2738,2,3267,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105,4/15/2011,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2,2484,1,3126,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,4/16/2011,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,1,674,1,795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,4/17/2011,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,4,2186,1,3744,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,4/18/2011,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2,2760,2,3429,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,4/19/2011,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2,2795,2,3204,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,4/20/2011,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,2,3331,2,3944,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,4/21/2011,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3,3444,2,4189,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,4/22/2011,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1,1506,1,1683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,4/23/2011,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,4,2574,2,4036,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,4/24/2011,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,4,2481,1,4191,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,4/25/2011,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3,3300,2,4073,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,4/26/2011,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,2,3722,3,4400,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117,4/27/2011,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,2,3325,2,3872,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
118,4/28/2011,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,2,3489,2,4058,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
119,4/29/2011,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3,3717,3,4595,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,4/30/2011,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,4,3347,2,5312,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
121,5/1/2011,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,4,2213,1,3351,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,5/2/2011,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3,3554,2,4401,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,5/3/2011,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,2,3848,3,4451,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,5/4/2011,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,1,2378,1,2633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,5/5/2011,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,2,3819,3,4433,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126,5/6/2011,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3,3714,3,4608,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,5/7/2011,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,4,3102,2,4714,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,5/8/2011,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,4,2932,2,4333,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129,5/9/2011,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,2,3698,3,4362,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,5/10/2011,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,2,4109,3,4803,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131,5/11/2011,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,2,3632,2,4182,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
132,5/12/2011,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,2,4169,3,4864,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,5/13/2011,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,2,3413,2,4105,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,5/14/2011,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,3,2507,2,3409,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,5/15/2011,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,4,2971,2,4553,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,5/16/2011,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3,3185,2,3958,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137,5/17/2011,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,2,3445,2,4123,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138,5/18/2011,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,2,3319,2,3855,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139,5/19/2011,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3,3840,3,4575,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,5/20/2011,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,3,4008,3,4917,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
141,5/21/2011,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,4,3547,2,5805,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
142,5/22/2011,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,4,3084,2,4660,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,5/23/2011,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3,3438,2,4274,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,5/24/2011,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,2,3833,3,4492,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
145,5/25/2011,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,3,4238,3,4978,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146,5/26/2011,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3,3919,3,4677,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,5/27/2011,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3,3808,3,4679,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,5/28/2011,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,4,2757,2,4758,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,5/29/2011,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,4,2433,1,4788,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5/30/2011,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,4,2549,2,4098,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151,5/31/2011,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,2,3309,2,3982,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,6/1/2011,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,2,3461,2,3974,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,6/2/2011,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,3,4232,3,4968,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,6/3/2011,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,3,4414,3,5312,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
155,6/4/2011,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,4,3473,2,5342,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,6/5/2011,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,4,3221,2,4906,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,6/6/2011,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,2,3875,3,4548,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
158,6/7/2011,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,3,4070,3,4833,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,6/8/2011,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,2,3725,3,4401,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,6/9/2011,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,2,3352,2,3915,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
161,6/10/2011,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3,3771,3,4586,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,6/11/2011,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,4,3237,2,4966,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
